absolute_pdt,absolute_utc,eclipse,SAA,Spacecraft_mode,SHARP_mode,MeDDEA_mode
2025-06-16 04:28:40,2025-06-16 11:28:40,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-06-16 05:28:10,2025-06-16 12:28:10,True,0,PAYLOAD,IDLE,SCIENCE
2025-06-16 06:03:30,2025-06-16 13:03:30,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-06-16 06:45:30,2025-06-16 13:45:30,False,1,PAYLOAD,ENGINEERING,IDLE
2025-06-16 06:50:10,2025-06-16 13:50:10,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-06-16 06:50:20,2025-06-16 13:50:20,False,1,PAYLOAD,ENGINEERING,IDLE
2025-06-16 06:50:30,2025-06-16 13:50:30,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-06-16 07:03:00,2025-06-16 14:03:00,True,0,PAYLOAD,IDLE,SCIENCE
2025-06-16 07:38:20,2025-06-16 14:38:20,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-06-16 08:17:50,2025-06-16 15:17:50,False,1,PAYLOAD,ENGINEERING,IDLE
2025-06-16 08:27:30,2025-06-16 15:27:30,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-06-16 08:37:50,2025-06-16 15:37:50,True,0,PAYLOAD,IDLE,SCIENCE
2025-06-16 09:13:10,2025-06-16 16:13:10,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-06-16 09:50:40,2025-06-16 16:50:40,False,1,PAYLOAD,ENGINEERING,IDLE
2025-06-16 10:03:30,2025-06-16 17:03:30,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-06-16 10:12:40,2025-06-16 17:12:40,True,0,PAYLOAD,IDLE,SCIENCE
2025-06-16 10:48:00,2025-06-16 17:48:00,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-06-16 11:26:00,2025-06-16 18:26:00,False,1,PAYLOAD,ENGINEERING,IDLE
2025-06-16 11:37:10,2025-06-16 18:37:10,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-06-16 11:47:30,2025-06-16 18:47:30,True,0,PAYLOAD,IDLE,SCIENCE
2025-06-16 12:22:50,2025-06-16 19:22:50,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-06-16 13:22:20,2025-06-16 20:22:20,True,0,PAYLOAD,IDLE,SCIENCE
2025-06-16 13:57:40,2025-06-16 20:57:40,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-06-16 14:57:10,2025-06-16 21:57:10,True,0,PAYLOAD,IDLE,SCIENCE
2025-06-16 15:32:30,2025-06-16 22:32:30,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-06-16 16:32:00,2025-06-16 23:32:00,True,0,PAYLOAD,IDLE,SCIENCE
2025-06-16 17:07:30,2025-06-17 00:07:30,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-06-16 18:06:50,2025-06-17 01:06:50,True,0,PAYLOAD,IDLE,SCIENCE
2025-06-16 18:42:20,2025-06-17 01:42:20,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-06-16 19:41:40,2025-06-17 02:41:40,True,0,PAYLOAD,IDLE,SCIENCE
2025-06-16 20:17:10,2025-06-17 03:17:10,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-06-16 21:16:40,2025-06-17 04:16:40,True,0,PAYLOAD,IDLE,SCIENCE
2025-06-16 21:52:00,2025-06-17 04:52:00,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-06-16 22:51:30,2025-06-17 05:51:30,True,0,PAYLOAD,IDLE,SCIENCE
2025-06-16 23:26:50,2025-06-17 06:26:50,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-06-17 00:26:20,2025-06-17 07:26:20,True,0,PAYLOAD,IDLE,SCIENCE
