absolute_utc,eclipse,SAA,Spacecraft_mode,SHARP_mode,MeDDEA_mode
2025-06-15 17:58:00+00:00,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-06-15 18:36:00+00:00,False,1,PAYLOAD,ENGINEERING,IDLE
2025-06-15 18:47:10+00:00,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-06-15 18:57:30+00:00,True,0,PAYLOAD,IDLE,SCIENCE
2025-06-15 19:32:50+00:00,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-06-15 20:32:20+00:00,True,0,PAYLOAD,IDLE,SCIENCE
2025-06-15 21:07:40+00:00,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-06-15 22:07:10+00:00,True,0,PAYLOAD,IDLE,SCIENCE
2025-06-15 22:42:30+00:00,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-06-15 23:42:00+00:00,True,0,PAYLOAD,IDLE,SCIENCE
2025-06-16 00:17:30+00:00,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-06-16 01:16:50+00:00,True,0,PAYLOAD,IDLE,SCIENCE
2025-06-16 01:52:20+00:00,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-06-16 02:51:40+00:00,True,0,PAYLOAD,IDLE,SCIENCE
2025-06-16 03:27:10+00:00,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-06-16 04:26:40+00:00,True,0,PAYLOAD,IDLE,SCIENCE
2025-06-16 05:02:00+00:00,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-06-16 06:01:30+00:00,True,0,PAYLOAD,IDLE,SCIENCE
2025-06-16 06:36:50+00:00,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-06-16 07:36:20+00:00,True,0,PAYLOAD,IDLE,SCIENCE
2025-06-16 08:11:40+00:00,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-06-16 09:11:10+00:00,True,0,PAYLOAD,IDLE,SCIENCE
2025-06-16 09:46:30+00:00,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-06-16 10:46:00+00:00,True,0,PAYLOAD,IDLE,SCIENCE
