absolute_pdt,eclipse,SAA,Spacecraft_mode,SHARP_mode,MeDDEA_mode,
3/27/2025 23:02,FALSE,0,PAYLOAD,SCIENCE,SCIENCE,
3/28/2025 00:01,TRUE,0,PAYLOAD,IDLE,IDLE,
3/28/2025 00:37,FALSE,0,PAYLOAD,SCIENCE,SCIENCE,
3/28/2025 01:36,TRUE,0,PAYLOAD,IDLE,IDLE,
3/28/2025 02:11,FALSE,0,PAYLOAD,SCIENCE,SCIENCE,
3/28/2025 03:11,TRUE,0,PAYLOAD,IDLE,IDLE,
3/28/2025 03:46,FALSE,0,PAYLOAD,SCIENCE,SCIENCE,
3/28/2025 04:46,TRUE,0,PAYLOAD,IDLE,IDLE,
3/28/2025 05:21,FALSE,0,PAYLOAD,SCIENCE,SCIENCE,
3/28/2025 06:04,FALSE,1,PAYLOAD,ENGINEERING,IDLE,
3/28/2025 06:07,FALSE,0,PAYLOAD,SCIENCE,SCIENCE,
3/28/2025 06:21,TRUE,0,PAYLOAD,IDLE,IDLE,
3/28/2025 06:56,FALSE,0,PAYLOAD,SCIENCE,SCIENCE,
3/28/2025 07:37,FALSE,1,PAYLOAD,ENGINEERING,IDLE,
3/28/2025 07:44,FALSE,0,PAYLOAD,SCIENCE,SCIENCE,
3/28/2025 07:55,TRUE,0,PAYLOAD,IDLE,IDLE,
3/28/2025 08:31,FALSE,0,PAYLOAD,SCIENCE,SCIENCE,
3/28/2025 09:09,FALSE,1,PAYLOAD,ENGINEERING,IDLE,
3/28/2025 09:21,FALSE,0,PAYLOAD,SCIENCE,SCIENCE,
3/28/2025 09:30,TRUE,0,PAYLOAD,IDLE,IDLE,
3/28/2025 10:06,FALSE,0,PAYLOAD,SCIENCE,SCIENCE,
3/28/2025 10:43,FALSE,1,PAYLOAD,ENGINEERING,IDLE,
3/28/2025 10:56,FALSE,0,PAYLOAD,SCIENCE,SCIENCE,
3/28/2025 11:05,TRUE,0,PAYLOAD,IDLE,IDLE,
3/28/2025 11:40,FALSE,0,PAYLOAD,SCIENCE,SCIENCE,
3/28/2025 12:19,FALSE,1,PAYLOAD,ENGINEERING,IDLE,
3/28/2025 12:27,FALSE,0,PAYLOAD,SCIENCE,SCIENCE,
3/28/2025 12:40,TRUE,0,PAYLOAD,IDLE,IDLE,
3/28/2025 13:15,FALSE,0,PAYLOAD,SCIENCE,SCIENCE,
3/28/2025 14:15,TRUE,0,PAYLOAD,IDLE,IDLE,
3/28/2025 14:50,FALSE,0,PAYLOAD,SCIENCE,SCIENCE,
3/28/2025 15:50,TRUE,0,PAYLOAD,IDLE,IDLE,
3/28/2025 16:25,FALSE,0,PAYLOAD,SCIENCE,SCIENCE,
3/28/2025 17:24,TRUE,0,PAYLOAD,IDLE,IDLE,
3/28/2025 18:00,FALSE,0,PAYLOAD,SCIENCE,SCIENCE,
3/28/2025 18:59,TRUE,0,PAYLOAD,IDLE,IDLE,
3/28/2025 19:35,FALSE,0,PAYLOAD,SCIENCE,SCIENCE,
3/28/2025 20:34,TRUE,0,PAYLOAD,IDLE,IDLE,
3/28/2025 21:09,FALSE,0,PAYLOAD,SCIENCE,SCIENCE,
3/28/2025 22:09,TRUE,0,PAYLOAD,IDLE,IDLE,
3/28/2025 22:44,FALSE,0,PAYLOAD,SCIENCE,SCIENCE,
3/28/2025 23:44,TRUE,0,PAYLOAD,IDLE,IDLE,
3/29/2025 00:19,FALSE,0,PAYLOAD,SCIENCE,SCIENCE,
3/29/2025 01:19,TRUE,0,PAYLOAD,IDLE,IDLE,
3/29/2025 01:54,FALSE,0,PAYLOAD,SCIENCE,SCIENCE,
3/29/2025 02:54,TRUE,0,PAYLOAD,IDLE,IDLE,
3/29/2025 03:29,FALSE,0,PAYLOAD,SCIENCE,SCIENCE,
3/29/2025 04:28,TRUE,0,PAYLOAD,IDLE,IDLE,
3/29/2025 05:04,FALSE,0,PAYLOAD,SCIENCE,SCIENCE,
3/29/2025 05:47,FALSE,1,PAYLOAD,ENGINEERING,IDLE,
3/29/2025 05:49,FALSE,0,PAYLOAD,SCIENCE,SCIENCE,
3/29/2025 06:03,TRUE,0,PAYLOAD,IDLE,IDLE,
3/29/2025 06:39,FALSE,0,PAYLOAD,SCIENCE,SCIENCE,
3/29/2025 07:20,FALSE,1,PAYLOAD,ENGINEERING,IDLE,
3/29/2025 07:26,FALSE,0,PAYLOAD,SCIENCE,SCIENCE,
3/29/2025 07:26,FALSE,1,PAYLOAD,ENGINEERING,IDLE,
3/29/2025 07:26,FALSE,0,PAYLOAD,SCIENCE,SCIENCE,
3/29/2025 07:38,TRUE,0,PAYLOAD,IDLE,IDLE,
3/29/2025 08:13,FALSE,0,PAYLOAD,SCIENCE,SCIENCE,
3/29/2025 08:52,FALSE,1,PAYLOAD,ENGINEERING,IDLE,
3/29/2025 09:03,FALSE,0,PAYLOAD,SCIENCE,SCIENCE,
3/29/2025 09:13,TRUE,0,PAYLOAD,IDLE,IDLE,
3/29/2025 09:48,FALSE,0,PAYLOAD,SCIENCE,SCIENCE,
